chr	start_pos	stop_pos	#total_windows	#signif_windows	Max_Stat	max_window_center	nearest_gene(s)	nearest_Fbgn(s)	orientation	position_vs_gene	OverlapFbgns	OverlapGenes
ChrX	776154	784079	1	1	0.050389253	780116.5	FBgn0264449	CG43867	i	0.349801266	FBgn0264449	CG43867
ChrX	880005	889525	1	1	0.06775229	884765	FBgn0042146	CG18823	e	0.46875	FBgn0040350/FBgn0042146/FBgn0040338	CG3690/CG18823/TfIIA-S-2
ChrX	1312089	1336955	1	1	0.0836423	1324522	FBgn0259108	futsch	i	0.506406922	FBgn0259108	futsch
ChrX	3284594	3289719	1	1	0.098365864	3287156.5	FBgn0029657	CG12535	e	0.987152053	FBgn0262656/FBgn0029657	dm/CG12535
ChrX	4796001	4812089	2	2	0.059473023	4807498	FBgn0052772	CG32772	e	0.742645794	FBgn0260971/FBgn0029733/FBgn0052772/FBgn0029736	CG42594/CG6927/CG32772/CG4041
ChrX	4923581	4929420	1	1	0.053509825	4926500.5	FBgn0003028	ovo	u	-15829.5	FBgn0029740/FBgn0003028	CG12680/ovo
ChrX	5594428	5599545	1	1	0.057997466	5596986.5	FBgn0029791	CG4096	i	0.436333863	FBgn0029791	CG4096
ChrX	6024654	6033140	1	1	0.088780835	6028897	FBgn0264386	Ca-alpha1T	i	0.651813389	FBgn0264386	Ca-alpha1T
ChrX	6088719	6098515	2	2	0.135797645	6096145	FBgn0040069	vanin-like	e	0.188528047	FBgn0264386/FBgn0052750/FBgn0052751/FBgn0262536/FBgn0040069/FBgn0029848	Ca-alpha1T/CG32750/CG32751/CG43090/vanin-like/Btd
ChrX	7036553	7043138	1	1	0.144023477	7039845.5	FBgn0029939	CG9650	i	0.077627652	FBgn0029939	CG9650
ChrX	7152548	7170863	3	2	0.078273917	7168081	FBgn0029940	CG1958	d	6165	FBgn0029939/FBgn0029940/FBgn0029941	CG9650/CG1958/CG1677
ChrX	7266581	7273737	1	1	0.060586343	7270159	FBgn0029948	CheA7a	u	-2014	FBgn0029947/FBgn0029948/FBgn0261849	CG1999/CheA7a/CG42781
ChrX	7329375	7336367	1	1	0.089744919	7332871	FBgn0262828	CG43199	u	-11850	FBgn0052726/FBgn0262828	CG32726/CG43199
ChrX	8598826	8615729	3	3	0.175319623	8601504	FBgn0041629	Hexo2	u	-2181	FBgn0030058/FBgn0041629/FBgn0030060/FBgn0030061/FBgn0027330/FBgn0030063/FBgn0026411	CG11294/Hexo2/CG2004/CG1785/l(1)G0020/CG1789/Lim1
ChrX	8987090	8993676	1	1	0.051050269	8990383	FBgn0030087	CG7766	i	0.729205815	FBgn0030086/FBgn0030087	CG7033/CG7766
ChrX	9094352	9097985	1	1	0.056730485	9096168.5	FBgn0086450	su(r)	u	-319.5	FBgn0086450/FBgn0030102	su(r)/CG12119
ChrX	9346476	9354420	1	1	0.116876804	9350448	FBgn0261260	mgl	i	0.311608511	FBgn0261260	mgl
ChrX	9543161	9557457	2	2	0.07668295	9553792	FBgn0030148	CG3106	e	0.818951393	FBgn0028341/FBgn0030148/FBgn0261617	l(1)G0232/CG3106/nej
ChrX	9811596	9814976	1	1	0.063498368	9813286	FBgn0030162	CG1986	u	-8127	FBgn0030162/FBgn0026415	CG1986/Idgf4
ChrX	9866751	9904054	5	2	0.085557619	9870577	FBgn0263216	CG43386	i	0.079796108	FBgn0263216/FBgn0030167/FBgn0052694/FBgn0053557	CG43386/CG15252/CG32694/CG33557
ChrX	9945043	9954325	1	1	0.059961789	9949684	FBgn0030174	CG15312	t	0.998556146	FBgn0005391/FBgn0004045/FBgn0030174	Yp2/Yp1/CG15312
ChrX	10108701	10112697	1	1	0.051644361	10110699	FBgn0030186	CG2962	u	-24	FBgn0028342/FBgn0030186/FBgn0040941	l(1)G0230/CG2962/CG15308
ChrX	11392477	11402425	1	1	0.122249954	11397451	FBgn0052666	Drak	i	0.166095946	FBgn0052666	Drak
ChrX	11452953	11456941	1	1	0.121891315	11454947	FBgn0030310	PGRP-SA	u	-729	FBgn0030309/FBgn0030310/FBgn0003277	CG1572/PGRP-SA/RpII215
ChrX	11781577	11789737	1	1	0.055684578	11785657	FBgn0030352	CG15738	u	-383	FBgn0030350/FBgn0030351/FBgn0030352/FBgn0260780	SelG/CG1840/CG15738/wisp
ChrX	12079063	12083730	1	1	0.066080476	12081396.5	FBgn0259240	Ten-a	i	0.283386083	FBgn0030377/FBgn0259240	CG1924/Ten-a
